# Calibrated: YES (CRC: 0xF1BE66C2)
# Band Floors (dBm): 300:-82.5, 315:-91.5, 434:-91.5, 446:-91.5, 815:-91.5, 868:-91.5, 915:-91.5
timestamp,lat,lon,hdop,fix_type,em_fog,rssi_300,rssi_315,r0.00,,,,,13.1,-74.0,-79.0,-81.5,-81.5,-91.5,-91.5,-92.0
5.60,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
5.70,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
5.80,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
5.90,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
6.00,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
6.10,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
6.20,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
6.30,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
6.40,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
6.50,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
6.60,,,,,15.4,-73.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
6.70,,,,,14.1,-78.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
6.80,,,,,14.1,-78.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
6.90,,,,,14.1,-78.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
7.00,,,,,14.1,-78.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
7.10,,,,,14.1,-78.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
7.20,,,,,14.1,-78.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
7.30,,,,,14.1,-78.0,-78.5,-80.5,-77.0,-91.5,-91.5,-91.5
7.40,,,,,14.3,-78.0,-78.0,-80.5,-77.0,-91.5,-91.5,-91.5
7.50,,,,,14.3,-78.0,-78.0,-80.5,-77.0,-91.5,-91.5,-91.5
7.60,,,,,14.3,-78.0,-78.0,-80.5,-77.0,-91.5,-91.5,-91.5
7.70,,,,,14.3,-78.0,-78.0,-80.5,-77.0,-91.5,-91.5,-91.5
7.80,,,,,14.3,-78.0,-78.0,-80.5,-77.0,-91.5,-91.5,-91.5
7.90,,,,,14.3,-78.0,-78.0,-80.5,-77.0,-91.5,-91.5,-91.5
8.00,,,,,14.2,-78.0,-78.0,-81.0,-77.0,-91.5,-91.5,-91.5
8.10,,,,,14.2,-78.0,-78.0,-81.0,-77.0,-91.5,-91.5,-91.5
8.20,,,,,14.2,-78.0,-78.0,-81.0,-77.0,-91.5,-91.5,-91.5
8.30,,,,,14.2,-78.0,-78.0,-81.0,-77.0,-91.5,-91.5,-91.5
8.40,,,,,14.2,-78.0,-78.0,-81.0,-77.0,-91.5,-91.5,-91.5
8.50,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
8.60,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
8.70,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
8.80,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
8.90,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
9.00,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
9.10,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
9.20,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
9.30,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
9.40,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
9.50,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
9.60,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
9.70,,,,,13.8,-78.0,-78.0,-81.0,-78.0,-91.5,-91.5,-91.5
