timestamp,tick,gsr_raw
2026-06-30T23:46:21Z,0,5084.4
2026-06-30T23:46:21Z,1,5078.5
2026-06-30T23:46:21Z,2,5064.0
2026-06-30T23:46:21Z,3,5048.1
2026-06-30T23:46:21Z,4,5037.8
2026-06-30T23:46:21Z,5,5027.8
2026-06-30T23:46:21Z,6,5018.7
2026-06-30T23:46:22Z,7,5009.9
2026-06-30T23:46:22Z,8,4998.8
2026-06-30T23:46:22Z,9,4986.8
2026-06-30T23:46:22Z,0,4975.8
2026-06-30T23:46:22Z,1,4966.3
2026-06-30T23:46:22Z,2,4957.0
2026-06-30T23:46:22Z,3,4948.1
2026-06-30T23:46:22Z,4,4938.8
2026-06-30T23:46:22Z,5,4928.0
2026-06-30T23:46:22Z,6,4914.8
2026-06-30T23:46:23Z,7,4900.7
2026-06-30T23:46:23Z,8,4887.2
2026-06-30T23:46:23Z,9,4876.5
2026-06-30T23:46:23Z,0,4866.4
2026-06-30T23:46:23Z,1,4856.9
2026-06-30T23:46:23Z,2,4847.9
2026-06-30T23:46:23Z,3,4838.7
2026-06-30T23:46:23Z,4,4830.5
2026-06-30T23:46:23Z,5,4826.9
2026-06-30T23:46:23Z,6,4827.1
2026-06-30T23:46:24Z,7,4829.6
2026-06-30T23:46:24Z,8,4836.9
2026-06-30T23:46:24Z,9,4847.8
2026-06-30T23:46:24Z,0,4860.9
2026-06-30T23:46:24Z,1,4878.5
2026-06-30T23:46:24Z,2,4898.5
2026-06-30T23:46:24Z,3,4913.0
2026-06-30T23:46:24Z,4,4922.6
2026-06-30T23:46:24Z,5,4932.6
2026-06-30T23:46:24Z,6,4948.8
2026-06-30T23:46:25Z,7,4964.7
2026-06-30T23:46:25Z,8,4969.7
2026-06-30T23:46:25Z,9,4970.4
2026-06-30T23:46:25Z,0,4973.1
2026-06-30T23:46:25Z,1,4977.8
2026-06-30T23:46:25Z,2,4989.1
2026-06-30T23:46:25Z,3,5008.7
2026-06-30T23:46:25Z,4,5032.3
2026-06-30T23:46:25Z,5,5062.4
2026-06-30T23:46:25Z,6,5100.1
2026-06-30T23:46:26Z,7,5151.4
2026-06-30T23:46:26Z,8,5214.8
2026-06-30T23:46:26Z,9,5272.6
2026-06-30T23:46:26Z,0,5334.1
2026-06-30T23:46:26Z,1,5400.9
2026-06-30T23:46:26Z,2,5472.7
2026-06-30T23:46:26Z,3,5553.4
2026-06-30T23:46:26Z,4,5646.5
2026-06-30T23:46:26Z,5,5749.3
2026-06-30T23:46:26Z,6,5864.7
2026-06-30T23:46:27Z,7,5988.2
2026-06-30T23:46:27Z,8,6113.7
2026-06-30T23:46:27Z,9,6224.6
2026-06-30T23:46:27Z,0,6334.3
2026-06-30T23:46:27Z,1,6431.2
2026-06-30T23:46:27Z,2,6515.3
2026-06-30T23:46:27Z,3,6583.0
