timestamp,lat,lon,alt,hdop,vdop,sats,fix,fix_type,speed_kts,course_deg,gsr_raw
2026-07-07T07:43:11Z,51.556057,-0.071092,51.0,2.6,7.2,5,6,3,1.31,0.0,3965.6
2026-07-07T07:43:11Z,,,,,,,,,,,3977.5
2026-07-07T07:43:11Z,,,,,,,,,,,3982.4
2026-07-07T07:43:11Z,,,,,,,,,,,3991.7
2026-07-07T07:43:11Z,,,,,,,,,,,4001.3
2026-07-07T07:43:11Z,,,,,,,,,,,4007.4
2026-07-07T07:43:11Z,,,,,,,,,,,4013.5
2026-07-07T07:43:11Z,,,,,,,,,,,4018.6
2026-07-07T07:43:12Z,,,,,,,,,,,4019.1
2026-07-07T07:43:12Z,,,,,,,,,,,4016.1
2026-07-07T07:43:12Z,51.556053,-0.071090,50.8,2.6,7.2,5,1,3,0.54,0.0,4012.9
2026-07-07T07:43:12Z,,,,,,,,,,,4012.2
2026-07-07T07:43:12Z,,,,,,,,,,,4012.0
2026-07-07T07:43:12Z,,,,,,,,,,,4009.5
2026-07-07T07:43:12Z,,,,,,,,,,,4003.9
2026-07-07T07:43:12Z,,,,,,,,,,,4000.2
2026-07-07T07:43:12Z,,,,,,,,,,,3997.8
2026-07-07T07:43:12Z,,,,,,,,,,,3993.7
2026-07-07T07:43:13Z,,,,,,,,,,,3988.1
2026-07-07T07:43:13Z,,,,,,,,,,,3981.5
2026-07-07T07:43:13Z,51.556053,-0.071087,50.5,2.6,7.2,5,1,3,0.69,0.0,3977.6
2026-07-07T07:43:13Z,,,,,,,,,,,3968.9
2026-07-07T07:43:13Z,,,,,,,,,,,3947.1
2026-07-07T07:43:13Z,,,,,,,,,,,3932.8
2026-07-07T07:43:13Z,,,,,,,,,,,3931.4
2026-07-07T07:43:13Z,,,,,,,,,,,3932.0
2026-07-07T07:43:13Z,,,,,,,,,,,3933.2
2026-07-07T07:43:13Z,,,,,,,,,,,3930.5
2026-07-07T07:43:14Z,,,,,,,,,,,3929.8
2026-07-07T07:43:14Z,,,,,,,,,,,3934.9
2026-07-07T07:43:14Z,51.556061,-0.071080,50.2,2.6,7.2,5,1,3,2.96,29.1,3946.0
2026-07-07T07:43:14Z,,,,,,,,,,,3960.9
2026-07-07T07:43:14Z,,,,,,,,,,,3973.3
2026-07-07T07:43:14Z,,,,,,,,,,,3991.7
2026-07-07T07:43:14Z,,,,,,,,,,,4007.3
2026-07-07T07:43:14Z,,,,,,,,,,,4012.3
2026-07-07T07:43:14Z,,,,,,,,,,,4025.0
2026-07-07T07:43:14Z,,,,,,,,,,,4030.3
2026-07-07T07:43:15Z,,,,,,,,,,,4021.1
2026-07-07T07:43:15Z,,,,,,,,,,,4013.8
2026-07-07T07:43:15Z,51.556053,-0.071075,49.9,2.6,7.2,5,1,3,4.33,181.5,4008.6
2026-07-07T07:43:15Z,,,,,,,,,,,4009.5
2026-07-07T07:43:15Z,,,,,,,,,,,4010.4
2026-07-07T07:43:15Z,,,,,,,,,,,4005.3
2026-07-07T07:43:15Z,,,,,,,,,,,4008.0
2026-07-07T07:43:15Z,,,,,,,,,,,4020.6
2026-07-07T07:43:15Z,,,,,,,,,,,4033.2
2026-07-07T07:43:15Z,,,,,,,,,,,4042.9
2026-07-07T07:43:16Z,,,,,,,,,,,4052.2
2026-07-07T07:43:16Z,,,,,,,,,,,4063.9
2026-07-07T07:43:16Z,51.556038,-0.071077,49.5,2.6,7.2,5,1,3,1.38,181.5,4083.3
2026-07-07T07:43:16Z,,,,,,,,,,,4107.8
2026-07-07T07:43:16Z,,,,,,,,,,,4122.1
2026-07-07T07:43:16Z,,,,,,,,,,,4128.3
2026-07-07T07:43:16Z,,,,,,,,,,,4139.6
2026-07-07T07:43:16Z,,,,,,,,,,,4149.2
2026-07-07T07:43:16Z,,,,,,,,,,,4157.1
2026-07-07T07:43:16Z,,,,,,,,,,,4171.1
2026-07-07T07:43:17Z,,,,,,,,,,,4181.9
2026-07-07T07:43:17Z,,,,,,,,,,,4187.0
2026-07-07T07:43:17Z,51.556038,-0.071074,48.2,2.6,7.2,5,1,3,0.81,181.5,4195.1
2026-07-07T07:43:17Z,,,,,,,,,,,4204.0
2026-07-07T07:43:17Z,,,,,,,,,,,4206.9
2026-07-07T07:43:17Z,,,,,,,,,,,4208.7
2026-07-07T07:43:17Z,,,,,,,,,,,4211.3
2026-07-07T07:43:17Z,,,,,,,,,,,4212.8
2026-07-07T07:43:17Z,,,,,,,,,,,4215.1
2026-07-07T07:43:17Z,,,,,,,,,,,4223.5
2026-07-07T07:43:18Z,,,,,,,,,,,4239.5
2026-07-07T07:43:18Z,,,,,,,,,,,4256.9
2026-07-07T07:43:18Z,51.556038,-0.071063,47.7,2.6,7.2,5,1,3,0.96,181.5,4276.9
2026-07-07T07:43:18Z,,,,,,,,,,,4296.9
2026-07-07T07:43:18Z,,,,,,,,,,,4312.7
2026-07-07T07:43:18Z,,,,,,,,,,,4331.0
2026-07-07T07:43:18Z,,,,,,,,,,,4353.5
2026-07-07T07:43:18Z,,,,,,,,,,,4375.5
2026-07-07T07:43:18Z,,,,,,,,,,,4395.9
2026-07-07T07:43:18Z,,,,,,,,,,,4414.2
2026-07-07T07:43:19Z,,,,,,,,,,,4428.3
2026-07-07T07:43:19Z,,,,,,,,,,,4437.4
2026-07-07T07:43:19Z,51.556038,-0.071061,47.5,2.4,3.2,6,1,3,0.22,181.5,4445.4
2026-07-07T07:43:19Z,,,,,,,,,,,4454.5
2026-07-07T07:43:19Z,,,,,,,,,,,4461.7
2026-07-07T07:43:19Z,,,,,,,,,,,4468.8
2026-07-07T07:43:19Z,,,,,,,,,,,4479.0
2026-07-07T07:43:19Z,,,,,,,,,,,4482.3
2026-07-07T07:43:19Z,,,,,,,,,,,4476.5
2026-07-07T07:43:19Z,,,,,,,,,,,4471.5
2026-07-07T07:43:20Z,,,,,,,,,,,4466.4
2026-07-07T07:43:20Z,,,,,,,,,,,4461.0
2026-07-07T07:43:20Z,51.556034,-0.071051,47.2,2.4,3.2,6,1,3,0.48,181.5,4454.5
2026-07-07T07:43:20Z,,,,,,,,,,,4438.6
2026-07-07T07:43:20Z,,,,,,,,,,,4402.6
2026-07-07T07:43:20Z,,,,,,,,,,,4360.8
2026-07-07T07:43:20Z,,,,,,,,,,,4335.0
2026-07-07T07:43:20Z,,,,,,,,,,,4329.6
2026-07-07T07:43:20Z,,,,,,,,,,,4337.7
2026-07-07T07:43:20Z,,,,,,,,,,,4360.1
2026-07-07T07:43:21Z,,,,,,,,,,,4375.5
2026-07-07T07:43:21Z,,,,,,,,,,,4381.2
2026-07-07T07:43:21Z,51.556038,-0.071047,46.9,2.4,3.2,6,1,3,0.51,181.5,4383.0
2026-07-07T07:43:21Z,,,,,,,,,,,4362.4
2026-07-07T07:43:21Z,,,,,,,,,,,4346.2
2026-07-07T07:43:21Z,,,,,,,,,,,4358.3
2026-07-07T07:43:21Z,,,,,,,,,,,4368.8
2026-07-07T07:43:21Z,,,,,,,,,,,4361.5
2026-07-07T07:43:21Z,,,,,,,,,,,4354.0
2026-07-07T07:43:21Z,,,,,,,,,,,4354.9
2026-07-07T07:43:22Z,,,,,,,,,,,4342.1
2026-07-07T07:43:22Z,,,,,,,,,,,4345.7
2026-07-07T07:43:22Z,51.556038,-0.071046,46.6,2.4,3.2,6,1,3,0.00,181.5,4380.6
2026-07-07T07:43:22Z,,,,,,,,,,,4420.5
2026-07-07T07:43:22Z,,,,,,,,,,,4462.1
2026-07-07T07:43:22Z,,,,,,,,,,,4501.1
2026-07-07T07:43:22Z,,,,,,,,,,,4523.2
2026-07-07T07:43:22Z,,,,,,,,,,,4538.2
2026-07-07T07:43:22Z,,,,,,,,,,,4557.0
2026-07-07T07:43:22Z,,,,,,,,,,,4575.6
2026-07-07T07:43:23Z,,,,,,,,,,,4595.2
2026-07-07T07:43:23Z,,,,,,,,,,,4616.8
2026-07-07T07:43:23Z,51.556038,-0.071047,46.2,2.4,3.2,6,1,3,0.00,181.5,4641.0
2026-07-07T07:43:23Z,,,,,,,,,,,4674.8
2026-07-07T07:43:23Z,,,,,,,,,,,4711.5
2026-07-07T07:43:23Z,,,,,,,,,,,4741.4
2026-07-07T07:43:23Z,,,,,,,,,,,4765.1
2026-07-07T07:43:23Z,,,,,,,,,,,4790.0
2026-07-07T07:43:23Z,,,,,,,,,,,4820.9
2026-07-07T07:43:23Z,,,,,,,,,,,4850.0
2026-07-07T07:43:24Z,,,,,,,,,,,4875.8
2026-07-07T07:43:24Z,,,,,,,,,,,4900.9
2026-07-07T07:43:24Z,51.556038,-0.071048,45.8,2.4,3.2,6,1,3,0.00,181.5,4923.9
2026-07-07T07:43:24Z,,,,,,,,,,,4946.1
2026-07-07T07:43:24Z,,,,,,,,,,,4968.3
2026-07-07T07:43:24Z,,,,,,,,,,,4989.1
2026-07-07T07:43:24Z,,,,,,,,,,,5008.9
2026-07-07T07:43:24Z,,,,,,,,,,,5029.1
2026-07-07T07:43:24Z,,,,,,,,,,,5045.5
2026-07-07T07:43:24Z,,,,,,,,,,,5054.3
2026-07-07T07:43:25Z,,,,,,,,,,,5057.7
2026-07-07T07:43:25Z,,,,,,,,,,,5060.4
2026-07-07T07:43:25Z,51.556038,-0.071051,45.6,2.4,3.2,6,1,3,0.00,181.5,5063.8
2026-07-07T07:43:25Z,,,,,,,,,,,5066.8
2026-07-07T07:43:25Z,,,,,,,,,,,5069.9
2026-07-07T07:43:25Z,,,,,,,,,,,5071.1
2026-07-07T07:43:25Z,,,,,,,,,,,5070.8
2026-07-07T07:43:25Z,,,,,,,,,,,5068.6
2026-07-07T07:43:25Z,,,,,,,,,,,5065.9
2026-07-07T07:43:25Z,,,,,,,,,,,5063.6
2026-07-07T07:43:26Z,,,,,,,,,,,5058.8
2026-07-07T07:43:26Z,,,,,,,,,,,5052.3
2026-07-07T07:43:26Z,51.556034,-0.071052,45.2,2.4,3.2,6,1,3,0.00,181.5,5045.2
2026-07-07T07:43:26Z,,,,,,,,,,,5039.1
2026-07-07T07:43:26Z,,,,,,,,,,,5032.6
2026-07-07T07:43:26Z,,,,,,,,,,,5023.8
2026-07-07T07:43:26Z,,,,,,,,,,,5013.6
2026-07-07T07:43:26Z,,,,,,,,,,,5003.0
2026-07-07T07:43:26Z,,,,,,,,,,,4991.8
2026-07-07T07:43:26Z,,,,,,,,,,,4980.6
2026-07-07T07:43:27Z,,,,,,,,,,,4970.5
2026-07-07T07:43:27Z,,,,,,,,,,,4960.7
2026-07-07T07:43:27Z,51.556034,-0.071055,44.9,2.4,3.2,6,1,3,0.00,181.5,4945.7
2026-07-07T07:43:27Z,,,,,,,,,,,4927.1
2026-07-07T07:43:27Z,,,,,,,,,,,4916.8
2026-07-07T07:43:27Z,,,,,,,,,,,4910.3
2026-07-07T07:43:27Z,,,,,,,,,,,4900.4
2026-07-07T07:43:27Z,,,,,,,,,,,4888.9
2026-07-07T07:43:27Z,,,,,,,,,,,4877.1
2026-07-07T07:43:27Z,,,,,,,,,,,4863.7
2026-07-07T07:43:28Z,,,,,,,,,,,4849.1
2026-07-07T07:43:28Z,,,,,,,,,,,4837.4
2026-07-07T07:43:28Z,51.556034,-0.071060,44.4,2.4,3.2,6,1,3,0.00,181.5,4828.3
2026-07-07T07:43:28Z,,,,,,,,,,,4819.6
2026-07-07T07:43:28Z,,,,,,,,,,,4812.2
2026-07-07T07:43:28Z,,,,,,,,,,,4806.7
2026-07-07T07:43:28Z,,,,,,,,,,,4801.2
2026-07-07T07:43:28Z,,,,,,,,,,,4796.9
2026-07-07T07:43:28Z,,,,,,,,,,,4796.8
2026-07-07T07:43:28Z,,,,,,,,,,,4802.1
2026-07-07T07:43:29Z,,,,,,,,,,,4812.1
2026-07-07T07:43:29Z,,,,,,,,,,,4826.1
2026-07-07T07:43:29Z,51.556034,-0.071062,44.1,2.4,3.2,6,1,3,0.00,181.5,4844.4
2026-07-07T07:43:29Z,,,,,,,,,,,4865.6
2026-07-07T07:43:29Z,,,,,,,,,,,4890.1
2026-07-07T07:43:29Z,,,,,,,,,,,4913.0
2026-07-07T07:43:29Z,,,,,,,,,,,4932.4
2026-07-07T07:43:29Z,,,,,,,,,,,4951.9
2026-07-07T07:43:29Z,,,,,,,,,,,4969.3
2026-07-07T07:43:29Z,,,,,,,,,,,4984.9
2026-07-07T07:43:30Z,,,,,,,,,,,4997.5
2026-07-07T07:43:30Z,,,,,,,,,,,5004.7
2026-07-07T07:43:30Z,51.556030,-0.071063,43.8,2.4,3.2,6,1,3,0.00,181.5,5001.9
2026-07-07T07:43:30Z,,,,,,,,,,,4991.5
2026-07-07T07:43:30Z,,,,,,,,,,,4986.5
2026-07-07T07:43:30Z,,,,,,,,,,,4984.4
2026-07-07T07:43:30Z,,,,,,,,,,,4981.2
2026-07-07T07:43:30Z,,,,,,,,,,,4976.4
2026-07-07T07:43:30Z,,,,,,,,,,,4969.5
2026-07-07T07:43:30Z,,,,,,,,,,,4962.9
2026-07-07T07:43:31Z,,,,,,,,,,,4956.8
2026-07-07T07:43:31Z,,,,,,,,,,,4949.9
2026-07-07T07:43:31Z,51.556030,-0.071064,43.5,2.4,3.2,6,1,3,0.00,181.5,4942.3
2026-07-07T07:43:31Z,,,,,,,,,,,4933.2
2026-07-07T07:43:31Z,,,,,,,,,,,4924.7
