timestamp,lat,lon,alt,sats,fix,gsr_raw
2026-07-06T19:07:38Z,51.556026,-0.071281,50.0,4,1,9596.2
2026-07-06T19:07:38Z,,,,,,9592.4
2026-07-06T19:07:38Z,,,,,,9575.2
2026-07-06T19:07:38Z,,,,,,9559.5
2026-07-06T19:07:38Z,,,,,,9556.7
2026-07-06T19:07:38Z,,,,,,9559.1
2026-07-06T19:07:39Z,,,,,,9552.2
2026-07-06T19:07:39Z,,,,,,9534.9
2026-07-06T19:07:39Z,,,,,,9521.6
2026-07-06T19:07:39Z,,,,,,9515.8
2026-07-06T19:07:39Z,51.556023,-0.071262,49.5,4,1,9508.3
2026-07-06T19:07:39Z,,,,,,9473.9
2026-07-06T19:07:39Z,,,,,,9453.4
2026-07-06T19:07:39Z,,,,,,9467.6
2026-07-06T19:07:39Z,,,,,,9477.2
2026-07-06T19:07:39Z,,,,,,9485.9
2026-07-06T19:07:40Z,,,,,,9499.0
2026-07-06T19:07:40Z,,,,,,9513.7
2026-07-06T19:07:40Z,,,,,,9527.2
2026-07-06T19:07:40Z,,,,,,9541.2
2026-07-06T19:07:40Z,51.556023,-0.071239,48.9,4,1,9557.2
2026-07-06T19:07:40Z,,,,,,9572.0
2026-07-06T19:07:40Z,,,,,,9581.9
2026-07-06T19:07:40Z,,,,,,9590.5
2026-07-06T19:07:40Z,,,,,,9596.8
2026-07-06T19:07:40Z,,,,,,9600.1
2026-07-06T19:07:41Z,,,,,,9603.0
2026-07-06T19:07:41Z,,,,,,9603.3
2026-07-06T19:07:41Z,,,,,,9605.1
2026-07-06T19:07:41Z,,,,,,9605.6
2026-07-06T19:07:41Z,51.556019,-0.071225,48.4,4,1,9608.2
2026-07-06T19:07:41Z,,,,,,9613.6
2026-07-06T19:07:41Z,,,,,,9612.7
2026-07-06T19:07:41Z,,,,,,9618.5
2026-07-06T19:07:41Z,,,,,,9626.9
2026-07-06T19:07:41Z,,,,,,9626.4
2026-07-06T19:07:42Z,,,,,,9624.8
2026-07-06T19:07:42Z,,,,,,9626.6
2026-07-06T19:07:42Z,,,,,,9630.1
2026-07-06T19:07:42Z,,,,,,9638.4
2026-07-06T19:07:42Z,51.556023,-0.071215,47.6,6,1,9649.7
2026-07-06T19:07:42Z,,,,,,9663.7
2026-07-06T19:07:42Z,,,,,,9682.0
