timestamp,lat,lon,alt,hdop,vdop,wdop,sats,fix,fix_type,speed_kts,course_deg,gsr_raw
2026-07-07T15:40:14Z,51.556290,-0.071245,43.9,2.5,2.0,99.9,6,1,3,0.00,139.6,2823.5
2026-07-07T15:40:15Z,,,,,,,,,,,,2823.3
2026-07-07T15:40:15Z,,,,,,,,,,,,2820.6
2026-07-07T15:40:15Z,,,,,,,,,,,,2826.5
2026-07-07T15:40:15Z,,,,,,,,,,,,2824.7
2026-07-07T15:40:15Z,51.556290,-0.071245,44.0,2.5,2.0,99.9,6,1,3,0.00,139.6,2820.6
2026-07-07T15:40:15Z,,,,,,,,,,,,2815.1
2026-07-07T15:40:15Z,,,,,,,,,,,,2809.4
2026-07-07T15:40:15Z,,,,,,,,,,,,2803.5
2026-07-07T15:40:15Z,,,,,,,,,,,,2796.8
2026-07-07T15:40:15Z,51.556290,-0.071244,44.1,2.5,2.0,99.9,6,1,3,0.00,139.6,2791.1
2026-07-07T15:40:16Z,,,,,,,,,,,,2784.2
2026-07-07T15:40:16Z,,,,,,,,,,,,2776.8
2026-07-07T15:40:16Z,,,,,,,,,,,,2771.2
2026-07-07T15:40:16Z,,,,,,,,,,,,2768.7
2026-07-07T15:40:16Z,51.556286,-0.071243,44.2,2.5,2.0,99.9,6,1,3,0.00,139.6,2767.6
2026-07-07T15:40:16Z,,,,,,,,,,,,2768.8
2026-07-07T15:40:16Z,,,,,,,,,,,,2774.1
2026-07-07T15:40:16Z,,,,,,,,,,,,2782.3
2026-07-07T15:40:16Z,,,,,,,,,,,,2793.0
2026-07-07T15:40:16Z,51.556286,-0.071243,44.4,2.5,2.0,99.9,6,1,3,0.00,139.6,2805.9
2026-07-07T15:40:17Z,,,,,,,,,,,,2819.9
2026-07-07T15:40:17Z,,,,,,,,,,,,2831.4
2026-07-07T15:40:17Z,,,,,,,,,,,,2842.4
2026-07-07T15:40:17Z,,,,,,,,,,,,2853.8
2026-07-07T15:40:17Z,51.556286,-0.071242,44.6,2.5,2.0,99.9,6,1,3,0.00,139.6,2865.5
2026-07-07T15:40:17Z,,,,,,,,,,,,2874.5
2026-07-07T15:40:17Z,,,,,,,,,,,,2880.6
2026-07-07T15:40:17Z,,,,,,,,,,,,2885.2
2026-07-07T15:40:17Z,,,,,,,,,,,,2890.0
2026-07-07T15:40:17Z,51.556286,-0.071241,44.7,2.5,2.0,99.9,6,1,3,0.00,139.6,2892.4
2026-07-07T15:40:18Z,,,,,,,,,,,,2891.5
2026-07-07T15:40:18Z,,,,,,,,,,,,2889.4
2026-07-07T15:40:18Z,,,,,,,,,,,,2885.7
2026-07-07T15:40:18Z,,,,,,,,,,,,2877.4
2026-07-07T15:40:18Z,51.556286,-0.071241,44.9,2.5,2.0,99.9,6,1,3,0.00,139.6,2869.6
2026-07-07T15:40:18Z,,,,,,,,,,,,2868.8
2026-07-07T15:40:18Z,,,,,,,,,,,,2869.9
2026-07-07T15:40:18Z,,,,,,,,,,,,2869.5
2026-07-07T15:40:18Z,,,,,,,,,,,,2870.0
2026-07-07T15:40:18Z,51.556286,-0.071241,45.0,2.5,2.0,99.9,6,1,3,0.00,139.6,2871.3
2026-07-07T15:40:19Z,,,,,,,,,,,,2873.8
2026-07-07T15:40:19Z,,,,,,,,,,,,2879.5
2026-07-07T15:40:19Z,,,,,,,,,,,,2888.4
2026-07-07T15:40:19Z,,,,,,,,,,,,2901.8
2026-07-07T15:40:19Z,51.556282,-0.071240,45.2,2.5,2.0,99.9,6,1,3,0.00,139.6,2920.1
2026-07-07T15:40:19Z,,,,,,,,,,,,2940.1
2026-07-07T15:40:19Z,,,,,,,,,,,,2966.0
2026-07-07T15:40:19Z,,,,,,,,,,,,2997.1
2026-07-07T15:40:19Z,,,,,,,,,,,,3025.3
2026-07-07T15:40:19Z,51.556282,-0.071239,45.3,2.5,2.0,99.9,6,1,3,0.00,139.6,3048.9
2026-07-07T15:40:20Z,,,,,,,,,,,,3073.2
2026-07-07T15:40:20Z,,,,,,,,,,,,3093.0
2026-07-07T15:40:20Z,,,,,,,,,,,,3114.2
2026-07-07T15:40:20Z,,,,,,,,,,,,3133.4
2026-07-07T15:40:20Z,51.556282,-0.071239,45.5,2.5,2.0,99.9,6,1,3,0.00,139.6,3145.5
2026-07-07T15:40:20Z,,,,,,,,,,,,3149.2
2026-07-07T15:40:20Z,,,,,,,,,,,,3146.0
2026-07-07T15:40:20Z,,,,,,,,,,,,3136.2
2026-07-07T15:40:20Z,,,,,,,,,,,,3124.7
2026-07-07T15:40:20Z,51.556282,-0.071237,45.6,2.5,2.0,99.9,6,1,3,1.22,139.6,3113.9
2026-07-07T15:40:20Z,,,,,,,,,,,,3105.2
2026-07-07T15:40:21Z,,,,,,,,,,,,3103.1
2026-07-07T15:40:21Z,,,,,,,,,,,,3104.0
2026-07-07T15:40:21Z,,,,,,,,,,,,3102.9
2026-07-07T15:40:21Z,51.556282,-0.071235,45.7,2.5,2.0,99.9,6,1,3,0.96,139.6,3104.4
2026-07-07T15:40:21Z,,,,,,,,,,,,3111.3
2026-07-07T15:40:21Z,,,,,,,,,,,,3121.9
2026-07-07T15:40:21Z,,,,,,,,,,,,3135.1
2026-07-07T15:40:21Z,,,,,,,,,,,,3156.1
2026-07-07T15:40:21Z,51.556282,-0.071231,45.8,2.5,2.0,99.9,6,1,3,0.69,139.6,3183.4
2026-07-07T15:40:22Z,,,,,,,,,,,,3209.3
2026-07-07T15:40:22Z,,,,,,,,,,,,3234.0
2026-07-07T15:40:22Z,,,,,,,,,,,,3258.3
2026-07-07T15:40:22Z,,,,,,,,,,,,3279.7
2026-07-07T15:40:22Z,51.556278,-0.071230,46.1,2.5,2.0,99.9,6,1,3,0.00,139.6,3300.2
2026-07-07T15:40:22Z,,,,,,,,,,,,3316.3
2026-07-07T15:40:22Z,,,,,,,,,,,,3332.1
2026-07-07T15:40:22Z,,,,,,,,,,,,3346.6
2026-07-07T15:40:22Z,,,,,,,,,,,,3358.7
2026-07-07T15:40:22Z,51.556274,-0.071229,46.3,2.5,2.0,99.9,6,1,3,0.00,139.6,3373.1
2026-07-07T15:40:23Z,,,,,,,,,,,,3389.9
2026-07-07T15:40:23Z,,,,,,,,,,,,3405.6
2026-07-07T15:40:23Z,,,,,,,,,,,,3424.0
2026-07-07T15:40:23Z,,,,,,,,,,,,3439.2
2026-07-07T15:40:23Z,51.556271,-0.071228,46.5,2.5,2.0,99.9,6,1,3,0.00,139.6,3449.9
2026-07-07T15:40:23Z,,,,,,,,,,,,3461.9
2026-07-07T15:40:23Z,,,,,,,,,,,,3475.6
2026-07-07T15:40:23Z,,,,,,,,,,,,3487.3
2026-07-07T15:40:23Z,,,,,,,,,,,,3495.9
2026-07-07T15:40:23Z,51.556267,-0.071221,47.0,2.5,2.0,99.9,6,1,3,1.55,139.6,3504.8
2026-07-07T15:40:23Z,,,,,,,,,,,,3512.8
2026-07-07T15:40:24Z,,,,,,,,,,,,3514.2
2026-07-07T15:40:24Z,,,,,,,,,,,,3513.0
2026-07-07T15:40:24Z,,,,,,,,,,,,3511.8
2026-07-07T15:40:24Z,51.556259,-0.071206,47.5,2.5,2.0,99.9,6,1,3,2.73,105.1,3514.2
2026-07-07T15:40:24Z,,,,,,,,,,,,3521.7
2026-07-07T15:40:24Z,,,,,,,,,,,,3529.2
2026-07-07T15:40:24Z,,,,,,,,,,,,3533.8
2026-07-07T15:40:24Z,,,,,,,,,,,,3537.9
2026-07-07T15:40:24Z,51.556255,-0.071194,47.8,2.5,2.0,99.9,6,1,3,2.65,103.4,3544.3
2026-07-07T15:40:25Z,,,,,,,,,,,,3551.6
2026-07-07T15:40:25Z,,,,,,,,,,,,3557.4
2026-07-07T15:40:25Z,,,,,,,,,,,,3562.5
2026-07-07T15:40:25Z,,,,,,,,,,,,3566.8
2026-07-07T15:40:25Z,51.556252,-0.071185,48.8,2.5,2.0,99.9,6,1,3,2.41,106.5,3571.6
2026-07-07T15:40:25Z,,,,,,,,,,,,3576.4
2026-07-07T15:40:25Z,,,,,,,,,,,,3578.2
2026-07-07T15:40:25Z,,,,,,,,,,,,3574.8
2026-07-07T15:40:25Z,,,,,,,,,,,,3568.6
2026-07-07T15:40:25Z,51.556244,-0.071175,49.4,2.5,2.0,99.9,6,1,3,2.52,109.4,3565.1
2026-07-07T15:40:25Z,,,,,,,,,,,,3568.1
2026-07-07T15:40:26Z,,,,,,,,,,,,3573.5
2026-07-07T15:40:26Z,,,,,,,,,,,,3580.3
2026-07-07T15:40:26Z,,,,,,,,,,,,3587.1
2026-07-07T15:40:26Z,51.556240,-0.071165,50.1,2.5,2.0,99.9,6,1,3,2.55,109.4,3594.2
2026-07-07T15:40:26Z,,,,,,,,,,,,3602.8
2026-07-07T15:40:26Z,,,,,,,,,,,,3609.5
2026-07-07T15:40:26Z,,,,,,,,,,,,3613.8
2026-07-07T15:40:26Z,,,,,,,,,,,,3617.2
2026-07-07T15:40:26Z,51.556232,-0.071148,50.8,2.5,2.0,99.9,6,1,3,2.58,109.3,3619.0
2026-07-07T15:40:26Z,,,,,,,,,,,,3617.4
2026-07-07T15:40:27Z,,,,,,,,,,,,3613.6
2026-07-07T15:40:27Z,,,,,,,,,,,,3608.6
2026-07-07T15:40:27Z,,,,,,,,,,,,3603.0
2026-07-07T15:40:27Z,51.556225,-0.071132,51.5,2.5,2.0,99.9,6,1,3,2.72,108.0,3597.0
2026-07-07T15:40:27Z,,,,,,,,,,,,3592.1
2026-07-07T15:40:27Z,,,,,,,,,,,,3587.0
2026-07-07T15:40:27Z,,,,,,,,,,,,3581.9
2026-07-07T15:40:27Z,,,,,,,,,,,,3578.1
2026-07-07T15:40:27Z,51.556217,-0.071116,51.8,2.5,2.0,99.9,6,1,3,2.81,108.3,3576.4
2026-07-07T15:40:27Z,,,,,,,,,,,,3575.5
2026-07-07T15:40:28Z,,,,,,,,,,,,3573.3
2026-07-07T15:40:28Z,,,,,,,,,,,,3569.5
2026-07-07T15:40:28Z,,,,,,,,,,,,3564.6
2026-07-07T15:40:28Z,51.556210,-0.071100,52.4,2.5,2.0,99.9,6,1,3,3.01,100.1,3559.6
2026-07-07T15:40:28Z,,,,,,,,,,,,3554.4
2026-07-07T15:40:28Z,,,,,,,,,,,,3547.8
2026-07-07T15:40:28Z,,,,,,,,,,,,3541.0
2026-07-07T15:40:28Z,,,,,,,,,,,,3533.5
2026-07-07T15:40:28Z,51.556202,-0.071079,53.1,2.5,2.0,99.9,6,1,3,3.12,103.3,3524.2
2026-07-07T15:40:28Z,,,,,,,,,,,,3516.4
2026-07-07T15:40:29Z,,,,,,,,,,,,3511.8
