timestamp,tick,gsr_raw
2026-06-30T23:25:52Z,0,6307.7
2026-06-30T23:25:52Z,1,6291.7
2026-06-30T23:25:52Z,2,6273.7
2026-06-30T23:25:53Z,3,6264.1
2026-06-30T23:25:53Z,4,6249.5
2026-06-30T23:25:53Z,5,6228.2
2026-06-30T23:25:53Z,6,6211.6
2026-06-30T23:25:53Z,7,6206.2
2026-06-30T23:25:53Z,8,6204.0
2026-06-30T23:25:53Z,9,6201.9
2026-06-30T23:25:53Z,0,6200.1
2026-06-30T23:25:53Z,1,6198.6
2026-06-30T23:25:53Z,2,6185.1
2026-06-30T23:25:54Z,3,6170.6
2026-06-30T23:25:54Z,4,6166.8
2026-06-30T23:25:54Z,5,6156.3
2026-06-30T23:25:54Z,6,6144.3
2026-06-30T23:25:54Z,7,6154.9
2026-06-30T23:25:54Z,8,6244.9
2026-06-30T23:25:54Z,9,6379.9
2026-06-30T23:25:54Z,0,6413.3
2026-06-30T23:25:54Z,1,6427.5
2026-06-30T23:25:54Z,2,6451.5
2026-06-30T23:25:55Z,3,6478.7
2026-06-30T23:25:55Z,4,6524.2
2026-06-30T23:25:55Z,5,6580.6
2026-06-30T23:25:55Z,6,6621.4
2026-06-30T23:25:55Z,7,6656.6
2026-06-30T23:25:55Z,8,6705.9
2026-06-30T23:25:55Z,9,6733.1
2026-06-30T23:25:55Z,0,6745.5
2026-06-30T23:25:55Z,1,6758.3
2026-06-30T23:25:55Z,2,6775.9
2026-06-30T23:25:56Z,3,6802.2
2026-06-30T23:25:56Z,4,6822.4
2026-06-30T23:25:56Z,5,6844.6
2026-06-30T23:25:56Z,6,6877.9
2026-06-30T23:25:56Z,7,6907.1
2026-06-30T23:25:56Z,8,6934.5
2026-06-30T23:25:56Z,9,6958.8
2026-06-30T23:25:56Z,0,6974.3
2026-06-30T23:25:56Z,1,6970.1
2026-06-30T23:25:56Z,2,6947.6
2026-06-30T23:25:57Z,3,6931.5
2026-06-30T23:25:57Z,4,6915.9
2026-06-30T23:25:57Z,5,6892.1
2026-06-30T23:25:57Z,6,6870.2
2026-06-30T23:25:57Z,7,6847.2
2026-06-30T23:25:57Z,8,6809.6
2026-06-30T23:25:57Z,9,6759.3
2026-06-30T23:25:57Z,0,6721.6
2026-06-30T23:25:57Z,1,6690.8
2026-06-30T23:25:57Z,2,6661.4
2026-06-30T23:25:58Z,3,6641.9
2026-06-30T23:25:58Z,4,6633.0
2026-06-30T23:25:58Z,5,6625.3
2026-06-30T23:25:58Z,6,6614.7
2026-06-30T23:25:58Z,7,6616.6
2026-06-30T23:25:58Z,8,6634.4
2026-06-30T23:25:58Z,9,6654.2
2026-06-30T23:25:58Z,0,6676.8
2026-06-30T23:25:58Z,1,6704.8
2026-06-30T23:25:58Z,2,6728.9
2026-06-30T23:25:59Z,3,6737.8
2026-06-30T23:25:59Z,4,6757.8
2026-06-30T23:25:59Z,5,6791.8
2026-06-30T23:25:59Z,6,6828.0
2026-06-30T23:25:59Z,7,6874.8
2026-06-30T23:25:59Z,8,6941.1
2026-06-30T23:25:59Z,9,7020.9
2026-06-30T23:25:59Z,0,7108.2
2026-06-30T23:25:59Z,1,7228.8
2026-06-30T23:25:59Z,2,7378.8
2026-06-30T23:26:00Z,3,7531.9
2026-06-30T23:26:00Z,4,7665.7
2026-06-30T23:26:00Z,5,7773.0
2026-06-30T23:26:00Z,6,7842.4
2026-06-30T23:26:00Z,7,7871.2
2026-06-30T23:26:00Z,8,7903.2
2026-06-30T23:26:00Z,9,7930.4
2026-06-30T23:26:00Z,0,7939.7
2026-06-30T23:26:00Z,1,7931.4
2026-06-30T23:26:00Z,2,7914.5
2026-06-30T23:26:01Z,3,7873.9
2026-06-30T23:26:01Z,4,7808.6
2026-06-30T23:26:01Z,5,7751.4
2026-06-30T23:26:01Z,6,7701.9
2026-06-30T23:26:01Z,7,7650.4
2026-06-30T23:26:01Z,8,7598.1
2026-06-30T23:26:01Z,9,7541.3
2026-06-30T23:26:01Z,0,7471.4
2026-06-30T23:26:01Z,1,7387.6
2026-06-30T23:26:01Z,2,7322.7
2026-06-30T23:26:02Z,3,7266.4
2026-06-30T23:26:02Z,4,7210.3
2026-06-30T23:26:02Z,5,7160.7
2026-06-30T23:26:02Z,6,7118.6
2026-06-30T23:26:02Z,7,7074.3
2026-06-30T23:26:02Z,8,7018.7
2026-06-30T23:26:02Z,9,6971.6
2026-06-30T23:26:02Z,0,6936.6
2026-06-30T23:26:02Z,1,6901.6
2026-06-30T23:26:02Z,2,6872.6
2026-06-30T23:26:03Z,3,6847.6
2026-06-30T23:26:03Z,4,6825.8
2026-06-30T23:26:03Z,5,6796.6
2026-06-30T23:26:03Z,6,6771.1
2026-06-30T23:26:03Z,7,6759.0
2026-06-30T23:26:03Z,8,6754.7
2026-06-30T23:26:03Z,9,6761.6
2026-06-30T23:26:03Z,0,6788.1
2026-06-30T23:26:03Z,1,6830.9
2026-06-30T23:26:03Z,2,6882.4
2026-06-30T23:26:04Z,3,6951.6
2026-06-30T23:26:04Z,4,7048.4
2026-06-30T23:26:04Z,5,7153.0
2026-06-30T23:26:04Z,6,7259.6
2026-06-30T23:26:04Z,7,7363.6
2026-06-30T23:26:04Z,8,7460.0
2026-06-30T23:26:04Z,9,7537.2
2026-06-30T23:26:04Z,0,7590.8
2026-06-30T23:26:04Z,1,7639.2
2026-06-30T23:26:04Z,2,7677.4
2026-06-30T23:26:05Z,3,7701.4
2026-06-30T23:26:05Z,4,7713.4
2026-06-30T23:26:05Z,5,7714.6
2026-06-30T23:26:05Z,6,7700.9
2026-06-30T23:26:05Z,7,7659.8
2026-06-30T23:26:05Z,8,7611.0
2026-06-30T23:26:05Z,9,7573.0
2026-06-30T23:26:05Z,0,7531.8
2026-06-30T23:26:05Z,1,7491.0
2026-06-30T23:26:05Z,2,7449.1
2026-06-30T23:26:06Z,3,7406.8
2026-06-30T23:26:06Z,4,7361.7
2026-06-30T23:26:06Z,5,7304.1
2026-06-30T23:26:06Z,6,7256.5
2026-06-30T23:26:06Z,7,7219.4
2026-06-30T23:26:06Z,8,7186.4
2026-06-30T23:26:06Z,9,7158.6
2026-06-30T23:26:06Z,0,7134.2
2026-06-30T23:26:06Z,1,7107.6
2026-06-30T23:26:06Z,2,7078.8
2026-06-30T23:26:07Z,3,7041.7
2026-06-30T23:26:07Z,4,7015.0
2026-06-30T23:26:07Z,5,6996.4
2026-06-30T23:26:07Z,6,6978.2
2026-06-30T23:26:07Z,7,6964.0
2026-06-30T23:26:07Z,8,6951.7
2026-06-30T23:26:07Z,9,6939.3
